Store ID,Country,City,Latitude,Longitude,Brand Owner,Brand Owner Origin,Address,Company Name,Fascia,Floorspace,Format,Price Range
recZCdXCJYiZRpFma,Nigeria,Lagos,6.4378076,3.3673911,Nars Supermarket,Nigeria,"38, 34 Burma Rd, Apapa Quays, Lagos, Nigeria",Nars,Nars,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recZIcDxXSXDoGCwW,Nigeria,Lagos,6.511188,3.352312,Nazareth Supermarket,Nigeria,"3 Babatunde Road, off Ogunlana Drive, Ikate, Lagos, Nigeria",Nazareth,Nazareth Supermarket,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec0hrYz3RSrCvTID,Nigeria,Lagos,6.447188,3.364562,Necessaries Integrated Services,Nigeria,"Shipper Council, B Wing, 2nd Floor",Necessaries Integrated Services,Necessaries Integrated Services,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recp5f8C44f2lLdbD,Nigeria,Lagos,6.427062,3.475937,Neighbourhood Mart,Nigeria,"Elf B/Stop, Updc Lekki Estate, Off, Whitesands St, Lekki Phase 1, Lekki, Nigeria",Neighbourhood Mart,Neighbourhood Mart,80,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recuwlx1vSmVaLXIu,Nigeria,Lagos,6.806812,3.434938,Nelson & Sisters Supermarket,Nigeria,"OKE-IGBALA AREA,MOWE, 30 Pakuro Road, MOWE, Nigeria",Nelson & Sisters Supermarket,Nelson & Sisters Supermarket,120,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec0vrF9HyD0D5C9i,Nigeria,Lagos,6.547938,3.361687,Number 1 Supermarket,Nigeria,"21 Coker Road, Ilupeju, Lagos, Nigeria",Number 1,Number 1 Supermarket,75,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec1z0SAezcZXmKgG,Nigeria,Lagos,6.448188,3.475062,NY Supermarket,Nigeria,"19 Admiralty Way (E), Lekki Phase 1, Lekki Phase I, Lagos, Nigeria",NY,NY Supermarket,350,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec2BTPVyYWErcU2a,Nigeria,Lagos,6.5825519,3.3602101,Oasis Supermarket,Nigeria,"Opic Plaza, Mobolaji Bank Anthony Way, Ikeja",Oasis,Oasis,500,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recLspIVqHu7AatoI,Nigeria,Lagos,6.456938,3.275062,Oberoi Supermarket Plus,Nigeria,"Eterna Filling Station Alakija, Old Ojo Rd, Amuwo Odofin, Lagos, Nigeria",Oberoi Supermarket Plus,Oberoi Supermarket Plus,70,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec2B8gKPUoPh3acY,Nigeria,Lagos,6.63391,3.3600801,Old English Superstores,Nigeria,"8, Adeyemo Akapo Street, Omole Phase 1",Old English Superstores,Old English Superstores,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recIvYW4ApmenGbQf,Nigeria,Lagos,6.584563,3.357188,Old English Superstores,Nigeria,"56 Isaac John St, Ikeja GRA, Ikeja, Nigeria",Old English Superstores,Old English Superstores,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recYbo6g40eCvXkvG,Nigeria,Lagos,6.481687,3.374688,Olive Variety Supermarket,Nigeria,"No. 103 Apapa Rd, West 23401, Lagos, Nigeria",Olive Variety Supermarket,Olive Variety Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recNltI3QWe1ZzS6A,Nigeria,Lagos,6.551438,3.325438,Olive Variety Supermarket,Nigeria,"33 Fatai Irawo St, Ajao Estate 100001, Lagos, Nigeria",Olive Variety Supermarket,Olive Variety Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec2Ff8en37tHY6QN,Nigeria,Lagos,6.628437,3.324438,Ollie's Supermarket,Nigeria,"20 Iju Road, Agege, Lagos, Nigeria",Ollie's,Ollie's Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec2KWBMetUTmOLEI,Nigeria,Lagos,6.442563,3.472562,Oluwatobi Supermarket,Nigeria,"Shop No 7, Oniru New Market, Lekki Phase I, Lagos, Nigeria",Oluwatobi,Oluwatobi Supermarket,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Unsure
recUb1wiu58jnweKZ,Nigeria,Lagos,6.579937,3.347688,One Dot Stores,Nigeria,"12, Reverend Ogunbiyi Street, G.R.A Ikeja, Lagos, Nigeria.",One Dot Stores,One Dot Stores,0,Online,Mid-level
recbuCE1z0ryWhhPo,Nigeria,Lagos,6.471188,3.306812,One Source Mart,Nigeria,"Plot 781 Festac Access Rd, Amuwo Odofin, GRA, Nigeria",One Source Mart,One Source Mart,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recvAQWonDyTVDJC1,Nigeria,Lagos,6.424812,3.441063,One Source Mart,Nigeria,"Plot 12 Ligali Ayorinde St, Victoria Island, Lagos, Nigeria",One Source Mart,One Source Mart,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
reckpq7VswkHq7uDK,Nigeria,Lagos,6.674938,3.198062,One Stop Mart,Nigeria,"12 Alafia St, Iyana Iyesi, Ota, Nigeria",One Stop Mart,One Stop Mart,110,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec3XPmkikypjHmM8,Nigeria,Lagos,6.5951766,3.3562535,Osata Supermarket,Nigeria,"7, Opebi Road, Omole Phase 1, Ikeja",Osata,Osata Supermarket,200,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recH50sYxkNx0n14b,Nigeria,Lagos,6.617437,3.502562,Osemilur Superstores,Nigeria,"38 Ayangburen road, Ojubode junction Ikorodu, Ikorodu 104212, Lagos, Nigeria",Osemilur Superstores,Osemilur Superstores,90,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recBfRJGR5ypq3TLq,Nigeria,Lagos,6.496688,3.584437,Payless Supermarket,Nigeria,"Addo Rd, Aja, Lagos, Nigeria",Payless Supermarket,Payless Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recxogZ9Da1m1BrDZ,Nigeria,Lagos,6.594938,3.341938,Payworth Supermarket,Nigeria,"Unde bridge, 20 Kodesoh St, by, Ikeja, Nigeria",Payworth Supermarket,Payworth Supermarket,80,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec4oB5DJVrgZ6aiu,Nigeria,Lagos,6.512438,3.316063,Pennymart Supermarket,Nigeria,"16 Ago Palace Way, Ilasmaja",Pennymart,Pennymart Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recyBOGOJrpT993hk,Nigeria,Lagos,6.545937,3.362437,Pharm Affairs,Nigeria,"6 Coker Rd, Ilupeju, Lagos, Nigeria",Pharm Affairs,Pharm Affairs,120,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec4gfyx7AgoEHwFl,Nigeria,Lagos,6.500813,3.583687,Phylmart Supermarket,Nigeria,"Frontier Plaza, Langbasa Rd, Eti-Osa, Lekki, Nigeria",Phylmart Supermarket,Phylmart Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recmKIkk9n6lvU70O,Nigeria,Lagos,6.436937,3.584812,Phylmart Supermarket,Nigeria,"Ajah, Ira nla road, off, Oke Ira Nla Road, Addo Rd, Aja, Nigeria",Phylmart Supermarket,Phylmart Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recowBDmxaQQsy1Px,Nigeria,Lagos,6.488062,3.598562,Phylmart Supermarket,Nigeria,"Oke Ira Nla Rd, Lambasa, Lagos, Nigeria",Phylmart Supermarket,Phylmart Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recrsbXcq4CmDT5VK,Nigeria,Lagos,6.441937,3.543188,Pick 'N' Smile,Nigeria,"Plot 3 orchid hotel road lekki MILAGRO MALL Lekki, Lagos, Nigeria",Pick 'N' Smile,Pick 'N' Smile,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec4cHy0q04Wf3MSh,Nigeria,Lagos,6.443812,3.490312,PJV Supermarket,Nigeria,"36b Kusenla Rd, Lekki Penninsula II, Lekki, Nigeria",PJV Supermarket,PJV Supermarket,250,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec83vIo4FVU7PbHr,Nigeria,Lagos,6.663813,3.307937,Premier Stores And Confectionary,Nigeria,"81-83 Olaniyi St, Ifako-Ijaiye, Lagos, Nigeria",Premier Stores And Confectionary,Premier Stores And Confectionary,80,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recvxZNdsqUNT7HSq,Nigeria,Lagos,6.612188,3.296188,Prestige Superstores,Nigeria,"4 Ipaja Rd, Alimosho Bus Stop, Lagos, Nigeria, Lagos, Nigeria",Prestige Superstores,Prestige Superstores,550,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec5uWmQnbbChNIJY,Nigeria,Lagos,6.655812,3.255688,Prestige Superstores,Nigeria,"Odugbesan St, iyana ipaja, Lagos, Nigeria",Prestige Superstores,Prestige Superstores,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec7KnxETHAiX63HI,Nigeria,Lagos,6.619063,3.562437,PriceRite,Nigeria,"STIR Filling Station, Eleshin Bustop, Ijede Rd, Ikorodu, Nigeria",PriceRite,PriceRite,120,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec4rB2us7aNwSRUJ,Nigeria,Lagos,6.455812,3.383812,Prime Grocers International,Nigeria,"Unit G2, Wilberforce House, 182'184 Broad Street",Prime Grocers,Prime Grocers,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
rec4tLQAJ0WzRQEGB,Nigeria,Lagos,6.457562,3.383313,Prime Grocers International,Nigeria,"17 Issah Williams St, Oke-Arin",Prime Grocers,Prime Grocers,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
rec4wt3s6aNqBG606,Nigeria,Lagos,6.4291586,3.4589903,Prince Ebeano Supermarket,Nigeria,"T.F Kuboye Street, Near Oniru New Market, Oniru, Lekki Phase 1",Prince Ebeano,Prince Ebeano,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec4AwYQlfdK1HuRY,Nigeria,Lagos,6.4475194,3.4701491,Prince Ebeano Supermarket,Nigeria,"Plot 9 Northern Buisness district, along Admirality Way, Lekki Phase 1",Prince Ebeano,Prince Ebeano,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec4G4SWK3djKnOut,Nigeria,Lagos,6.4547509,3.5303369,Prince Ebeano Supermarket,Nigeria,"10 Chevron Drive, Lekki",Prince Ebeano,Prince Ebeano,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec5Rv14SobT6q6v1,Nigeria,Lagos,6.576813,3.360437,Prince Ebeano Supermarket,Nigeria,"14 Isaac John Street, Ikeja GRA",Prince Ebeano,Prince Ebeano,400,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec5QEu2kR2bl0x0C,Nigeria,Lagos,6.4460015,3.5495096,Prolific Shoppers Supermarket,Nigeria,"Plot 1, Road 4, Ikota Villa Estate, Lekki Penninsula II, Lekki, Nigeria",Prolific Shoppers,Prolific Shoppers Supermarket,350,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recfqJtFaBpEKsFef,Nigeria,Lagos,6.507312,3.346812,Prudence Stores,Nigeria,"58 Cole St., Ikate 100001, Lagos, Nigeria",Prudence Stores,Prudence Stores,75,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recsG8rjLgFirjp0e,Nigeria,Lagos,6.472188,3.566063,Psookhay Winner,Nigeria,"Shop G8, The Hub Plaza, Addo Rd, Aja, Lagos, Nigeria",Psookhay Winner,Psookhay Winner,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec6h5G6S2TtSY8B3,Nigeria,Lagos,6.526813,3.386187,Qmart Supermarket,Nigeria,"41 St Finbarr's College Road, Akoka 100001, Lagos, Nigeria",Qmart,Qmart Supermarket,250,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
rec6n5taXbQodb6yD,Nigeria,Lagos,6.503437,3.347563,Queen Stores,Nigeria,"Ladele Dada Street, Ikate, Lagos, Nigeria",Queen,Queen Stores,20,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
